time,val_accuracy
0.0,0.0
52.0,0.0995
82.2,0.1009
112.8,0.1521
143.4,0.441
161.8,0.5988
180.1,0.6092
198.4,0.6735
216.7,0.6655
235.0,0.6107
253.4,0.6843
271.7,0.6101
290.0,0.6911
308.4,0.7836
326.8,0.7355
345.2,0.751
363.6,0.856
382.0,0.8713
